Jawaban (Indo),Answers (Eng),perceived ease of use,performance expectancy,effort expectancy,system quality,perceived usefulness,resistance to change,facilitating conditions,technological incapability,functionality,cost
"Kalau  pakai  aplikasi kan memudahkan buat ke dokternya tuh jadi lebih cepat ya Kalau misalkan tidak  pakai  aplikasi kan harus ngantri dulu ya, nunggunya lama Kalau misalkan  pakai  aplikasi, disitunya tuh udah tertera jam segini harus ke situ Jadi kita tuh langsung aja tidak usah ngantri","If you use an application, it will make it easier to go to the doctor, so it's faster, yes, for example, if you don't use the application, you have to wait in line first, yes, wait a long time, for example, if you use an application, it already says that you have to go there at this time, so we don't have to wait in line",0,2,0,0,0,1,0,0,0,0
"Kalau hambatan kadang ada kendala sih ya, gimana jaringannya lama juga Kadang sih tidak sesuai juga gimana dokternya meriksa pasiennya Jadi kalau misalkan pasiennya lama di dalam ya kita jamnya juga ngikut Lebih lama gitu ngantrinya","If there are obstacles, sometimes there are obstacles, yes, how long is the network also Sometimes it's not suitable, how does the doctor examine the patient So for example, if the patient is inside for a long time, yes, we also follow the hours Longer in line",0,0,0,0,0,0,0,2,0,0
Khususnya di administrasi sih lebih gampang ajuin langsung aja lewat online gitu,"Especially in administration, it's easier to apply directly through online",0,0,2,0,0,0,0,0,0,0
"Alasannya karena emang sekarang kan zaman udah canggih ya Karena udah banyak yang sistemnya  pakai  online, serba online gitu jadi lebih gampang","The reason is because now the era is already sophisticated, because there are already many people who use the system online, everything online becomes easier",0,0,2,0,0,0,0,0,0,0
kalau setahu saya ya Sama aja kalau laki-laki sama perempuan sama sama yakin mudah pakai aplikasinya,"As far as I know, it's the same if men and women are the same, I'm sure it's easy to use the application",2,0,0,0,0,0,0,0,0,0
"Sekarang kan emang kebanyakan kalau yang udah berumur, belum terlalu ngerti soal teknologi ya Jadi yakin tidak mudah buat yang berumur tuh  pakai  aplikasi kesehatan gitu","Now, most of those who are old don't know much about technology, so I'm sure it's not easy for older people to use health applications like that",1,0,0,0,0,0,0,0,0,0
"membantu tapi cukup, apa ya kalau misalkan emang sakitnya yang berat tuh lambat gitu, tidak dipenang juga gitu tidak langsung yang buru-buru gitu, padahal si pasiennya tuh emang butuh banget ke rumah sakit Tapi kadang yang di rumah sakitnya tuh lambat lama gitu, ya kalau misalkan  pakai  BPJS","help but enough, what if for example the pain is severe and slow, it is not collected and it is not immediately rushed, even though the patient really needs to go to the hospital But sometimes the patient in the hospital is slow for a long time, yes, for example using BPJS",0,1,0,0,2,0,0,0,0,0
"lancar lancar aja sih, soalnya kalau saya pribadi gitu ya menggunakan aplikasi itu Cuman untuk buat daftar antrian atau tidak buat kontrol kayak gitu aja","It's just smooth and smooth, because if I personally use the application, it's just to make a queue list or not to make a control like that.",0,0,0,0,0,0,0,1,0,0
"Iya, khususnya direkomendasi oleh pihak kesehatan atau rumah sakitnya","Yes, especially recommended by the health department or the hospital",0,0,0,0,0,0,2,0,0,0
" pakai  mobile JKN untuk Reservasi untuk kalau anak sakit, paling itu aja a","use mobile JKN for Reservations for if the child is sick, at least that's a",0,0,0,0,0,1,0,0,0,0
Biasa aja sih Soalnya jarang ngegunain aplikasinya,It's not uncommon to use the app very often.,0,0,0,0,0,0,0,0,0,0
Mungkin saya mah pakai aplikasi apa ya? pakai ASEAN yang kayak gitu ASEAN Parent? Iya yang itu Kalau lihat perkembangan anaknya,"What kind of app should I use? Is it the same as ASEAN Parent? Yes, that's if you look at the development of the child",0,0,0,0,0,1,0,0,0,0
ga ada Karena jarang buka Jadi  tidak  sih Karena kendala hp kurang mendukung,"not because it is rarely opened, so it is not because of the problem of the cellphone that does not support it.",0,0,0,0,0,0,0,2,0,0
"Paling liat di Youtube sih Searching gitu, Iya Karena liat testimoni dari Youtube fiturnya lengkap","The most you see on Youtube is Searching, Yes Because you see testimonials from Youtube the features are complete",0,0,0,2,0,0,0,0,0,0
Paling yang pernah liat Mah halodok ya Itu sering Keluar iklan gratis juga,Most of the people who have seen Mah halodok yes It often comes out free ads too,0,0,0,0,0,0,0,0,0,2
Ada rasa takut sih Kalau dulu pas masukin Data-data gitu Tapi tidak tau Itu aman atau  tidak .,"There is a fear that when you enter data like that, but you don't know if it's safe or not.",0,0,0,0,0,2,0,0,0,0
kalau BPJS kesehatan  pakai . Kalau yang lainnya tidak ada,if BPJS health uses. If the others are not there,0,0,0,0,0,1,0,0,0,0
"tidak sih, selama ini tidak pakai , mas. Soalnya emang belum familiar akunya sama aplikasi kesehatan itu","No, so far I haven't used it, mas. The problem is that I am not familiar with the health application",0,0,0,0,0,2,0,0,0,0
Kalau yang itu kan gratis,"If it's free, it's free",0,0,0,0,0,0,0,0,0,2
Malah saya kurang tahu aplikasi kesehatan yang misalnya ter pakai  buat sehari-hari atau apa itu soalnya kendala hp kurang bisa,"In fact, I don't know about health applications that are used for daily use or what it is because cellphone constraints are not possible",0,0,0,0,0,0,0,2,0,0
"tidak tahu, kayak Halodoc gitu-gitu aku kan tidak pakai takut","I don't know, like Halodoc, I don't use fear",0,0,0,0,0,2,0,0,0,0
"Kalau sampai sekarang belum ada kesayanya, feedbacknya belum tidak mau pakai sih","If until now there has been no doubt, the feedback has not been unwilling to use it",,,,,,2,,,,
"Kalau misalnya ada, mau tidak mau harus dilanjutkan gitu aplikasinya berbayar","If there is, for example, it inevitably has to be continued, the application is paid",0,0,0,0,0,0,0,0,0,1
Kayaknya karena ringan mungkin ya aplikasinya,"It seems that because it is lightweight, maybe the application",0,0,0,2,0,0,0,0,0,0
Mungkin aplikasi kesehatan dibuat ringan buat ga mempersulit kustomernya mungkin pemakainya,"Maybe the health application is made lightweight so that it doesn't make it difficult for the customer, maybe the user",0,0,0,2,0,0,0,0,0,0
"Ya, pastinya saya  pakai  untuk mendapatkan informasi ya, informasi bagus di aplikasi","Yes, of course I use it to get information, yes, good information in the application",0,0,0,0,0,1,0,0,2,0
Harusnya sih tidak ada perbedaan jenis kelamin ya sama sama mudah  pakai nya,"There should be no gender differences, it's just as easy to use",0,0,2,0,0,0,0,0,0,0
"tidak bosan, karena kan jarang di pakai . Paling di pakai nya kalau untuk keperluan aja kan","Don't get bored, because it's rarely used. Most of the time it is used for the purpose of",0,0,0,0,0,0,0,0,0,0
"Dulu, karena pas barengan jadi direkomendasiin gitu dari tempat kerja karena fiturnya lengkap","In the past, because it fits together, it was recommended from the workplace because the features are complete",0,0,0,2,0,0,2,0,0,0
80 persenan lah direkomendasi karena fitur lengkap juga,80 percent are recommended because of the full features as well,0,0,0,2,0,0,0,0,0,0
"Saya ditemui saat aku  pakai  aplikasi itu untuk patokan perkembangan, sih","I was met when I used the application as a benchmark for development, anyway",0,0,0,0,0,1,0,0,0,0
Tergantung Dilihat dulu kebutuhannya apa tapi lebih suka gratis,"It depends on what you need first, but prefer it to be free.",0,0,0,0,0,0,0,0,0,2
"Selama  pakai yang aplikasi dari rumah sakit, ya. Dari rumah sakit palingan juga. Kayak di SMPRN itu sih buat sering mantau aja","As long as you use the application from the hospital, yes. From the most important hospital as well. Like in high school, it's a lot of fun.",0,0,0,0,0,1,0,0,0,0
"Karena kan saya sambil kerja, ya. Kalau dari yang rumah sakit itu untuk jadwal periksa. Atau misalnya mau reservasi dokter, kayak gitu","Because I'm at work, yes. If it is from the hospital, it is for the examination schedule. Or for example, if you want to make a doctor's reservation, something like that",0,0,0,0,0,0,0,0,2,0
Paling ini sih fitur-fiturnya aja. Kayak fiturnya ada yang infografisnya terbatas tuh kayak yang kurang detail,"At least these are the features. Like the features, there are limited infographics, such as those that lack detail",0,0,0,1,0,0,0,0,0,0
sulit sih sih Soalnya jarang ngegunain aplikasinya,It's hard because you don't use the app very often.,1,0,0,0,0,0,0,0,0,0
Mungkin saya mah pakai aplikasi apa ya? pakai ASEAN yang kayak gitu pakai ASEAN Parent? Iya yang itu Kalau lihat perkembangan anaknya,"What kind of app should I use? using ASEAN like that using ASEAN Parent? Yes, that's if you look at the development of the child",0,0,0,0,0,1,0,0,0,0
ada kesulitan Karena jarang buka Jadi  tidak  sih Karena jarang buka,"There is a difficulty because it is rarely opened, so it is not because it is rarely opened.",1,0,0,0,0,0,0,0,0,0
"Paling liat di Youtube sih Searching gitu, Iya Karena liat testimoni dari Youtube fiturnya lengkap","The most you see on Youtube is Searching, Yes Because you see testimonials from Youtube the features are complete",0,0,0,2,0,0,0,0,0,0
Paling yang pernah liat Mah halodok ya Itu sering Keluar iklan gratis juga download nya,Most of the people who have seen Mah halodok Yes It often comes out free ads as well as download it,0,0,0,0,0,0,0,0,0,2
Ada rasa takut sih untuk  pakai  Kalau dulu pas masukin Data-data gitu Tapi tidak tau Itu aman atau  tidak .,There is a fear of using it if you used to enter the data but I don't know if it is safe or not.,0,0,0,0,0,2,0,0,0,0
"Iya, sudah pakai gampang juga pakai nya.","Yes, it's easy to use too.",0,0,2,0,0,0,0,0,0,0
Aplikasi kesehatan ada gratis.,The health app is free.,0,0,0,0,0,0,0,0,0,2
"cepat aplikasinya Buat anak, untuk tumbuh kembang ","Fast application For children, for growth and development",0,2,0,0,0,0,0,0,0,0
"Terus, kan saya lagi hamil, hamil ini juga disuruh biar lebih tahu detail kondisinya selama kehamilan. Jadi  pakai  aplikasi untuk hamil sama anak sih. informasi bagus juga didapat dari aplikasi gitu","Then, I was pregnant again, I was also told to know more details of her condition during pregnancy. So use the application to get pregnant with your child. Good information is also obtained from the application",0,0,0,0,0,0,0,0,2,0
"Kalau hamil memang kan banyak ya fiturnya lengkap, kalau saya  pakai  beberapa.","If you are pregnant, there are indeed many features, if I use several.",0,0,0,2,0,0,0,0,0,0
Kalau yang untuk anak mah yang primaku. Kalau anak  pakai  primaku.,"If it's for my first child, it's my favorite. If the child uses my primary.",0,0,0,0,0,1,0,0,0,0
"Kalau hamil, saya  pakai  teman bumil. Kadang flow juga kan sekalian buat ngecek menstruasi biasanya dua bulanan gitu.","If I am pregnant, I use a pregnant friend. Sometimes flow is also used to check menstruation, usually every two months.",0,0,0,0,0,1,0,0,0,0
"Alhamdulillah sih yakin yakin aja mudah dipahami ya, selama  pakai  gitu.","Alhamdulillah, I'm sure it's easy to understand, as long as you use it.",2,0,0,0,0,0,0,0,0,0
"Kesulitan paling kalau  kayak, kan beda aplikasi suka beda cara  pakai  buat masukin berat badannya jadi sulit aja","The most difficult thing is that it's like different applications, like different ways to use it to enter their weight, so it's just difficult",1,0,0,0,0,0,0,0,0,0
"Misalkan ada yang tidak harus  pakai  titik, atau harus ada yang  pakai  titik gitu jadi sulit","For example, if someone doesn't have to use a dot, or someone has to use a dot, it becomes difficult",1,0,0,0,0,0,0,0,0,0
"Paling adaptasi itu aja sih selebih nya sama, itu aja. Kayak untuk, apa namanya? Yang bagus fitur lengkap juga untuk perkembangan tinggi, berat gitu ya, grafik pertumbuhan.","Most adaptations are the same, that's all. Kayak for, what's its name? The good thing is that the complete features are also for high development, heavy yes, growth charts.",0,0,0,2,0,0,0,0,0,0
"Dia vaksin apa, nanti bulan depan apa, gitu. jadi memudahkan kita","What vaccine is it, what will it be next month, that's it. So it makes it easier for us",0,0,2,0,0,0,0,0,0,0
"Nah itu sih yang lebih membantu tuh ke arah itu, memudahkan kitanya itu.","Now that's what helps more in that direction, making it easier for us.",0,0,2,0,0,0,0,0,0,0
"Kalau selama saya  pakai  sih, primaku gratis ya, kalau untuk anak.","As long as I use it, I get it for free, if it's for children.",0,0,0,0,0,0,0,0,0,2
Terus kayak teman bumil juga gratis. Tapi ada beberapa fitur yang  bisa tidak gitu.,And then there's the fact that it's free. But there are some features that can be wrong.,0,0,0,0,0,0,0,0,0,2
Terbatas fiturnya.,Limited features.,0,0,0,1,0,0,0,0,0,0
"Iya, gitu terbatas fiturnya.","Yes, that's the limited feature.",0,0,0,1,0,0,0,0,0,0
BPJS ada  pakai . Sama yang swasta juga ada  pakai .,BPJS is used. The same private ones are also used.,0,0,0,0,0,1,0,0,0,0
"Dari kantor ya, saya juga kurang tahu.","From the office, yes, I also don't know.",0,0,0,0,0,0,0,0,0,0
"Saya juga tidak ngerti, gitu.",I don't understand either.,0,0,0,0,0,0,0,0,0,0
"Sebenarnya kalau swasta, yang saya tahu sih kan itu waktu rekomendasi dari dokter.","Actually, if it's private, all I know is that it's a recommendation time from a doctor.",0,0,0,0,0,0,2,0,0,0
"Kalau aplikasi kesehatan yang negeri ya paling, yang kayak buat BPJS aja yang JKN, kayak aplikasi pendaftaran rumah sakit aja, gitu.","If the health application is the state, it is the best, which is like making BPJS only the JKN, like the hospital registration application, that's it.",0,0,0,0,0,0,2,0,0,0
"Tapi mereka kadang ada fitur kesehatan juga lengkap, kan.","But sometimes they have complete health features, right.",0,0,0,2,0,0,0,0,0,0
"Ada fitur lengkap disana, gitu.","There's a complete feature there, that's it.",0,0,0,2,0,0,0,0,0,0
"Meskipun mereka banyak fitur juga, kadang tidak terpegang gitu.","Although they have a lot of features too, sometimes they don't hold up.",0,0,0,0,0,0,0,0,2,0
"fitur Paling ya beberapa yang penting menurut saya sih, itu aja. Pengingat pertumbuhan, gitu. Atau misalkan lebih baik ada jadwal.","features At least some of the important ones in my opinion, that's all. A reminder of growth, that's it. Or suppose it is better to have a schedule.",0,0,0,2,0,0,0,0,0,0
"Ini selama ini yang saya rasa fitur terbatas sih, wah kalau anak berat badannya kurang, atau apa gitu ya, tidak ada pengingat gitu di situ.","This is what I think has limited features, wow, if the child is underweight, or whatever, there is no reminder there.",0,0,0,1,0,0,0,0,0,0
"Selebihnya dia tidak ada pengingat apa, kalau baik kurang atau gimana. jadi kurang fiturnya terbatas","The rest of him has no reminder of what, if it's good or less. So the lack of features is limited",0,0,0,1,0,0,0,0,0,0
"Untuk awalnya saya tidak tahu, kayak kalau untuk period kan kita ada, ya. jadi lebih cepat ","At first, I don't know, it's like for the period we exist, yes. so faster",0,2,0,0,0,0,0,0,0,0
Maksudnya kita tahu membantu.,That means we know how to help.,0,0,0,0,2,0,0,0,0,0
"Karena kebetulan saya juga, gitu. sulit makainya",Because I happen to be too. It's hard to use,1,0,0,0,0,0,0,0,0,0
"Satu dan lain hal memang harus dihitung, gitu biar cepat aplikasinya","One thing and another must be calculated, so that the application is fast",0,2,0,0,0,0,0,0,0,0
"Untuk period. Nah kalau misalnya untuk anak, ya waktu itu rekomendasi dari dokter, supaya kita lebih tidak harus terus-terus balik lah gitu ke dokter.","For periods. Well, for example, for children, yes, at that time it was a recommendation from the doctor, so that we don't have to keep going back to the doctor.",0,0,0,0,0,0,2,0,0,0
"Misalkan ada yang tidak harus  pakai  titik, atau harus ada yang  pakai  titik gitu jadi mudah","For example, someone doesn't have to use a dot, or someone has to use a dot so it's easy",0,0,0,0,2,0,0,0,2,0
"Kalau saya tidak semua sama, gitu. ada yang kesulitan sulit pakai nya","If I'm not all the same, that's it. Some people have difficulty using it",1,0,0,0,0,0,0,0,0,0
"Tapi rata-rata kalau anak sih sama, gitu. yakin mudah mudah aja  pakai nya","On average, though, the kids are the same. Sure it's easy to use.",2,0,0,0,0,0,0,0,0,0
 pakai  Primaku itu kalau anak.,use my Primaku if you are a child.,0,0,0,0,0,1,0,0,0,0
"Tapi kurang tahu ya, yang saya sih gratis itu.","But I don't know, the one I am free of.",0,0,0,0,0,0,0,0,0,2
"Kalau anak mah rata-rata sama, gitu. yakin mudah aja","If the child is the same, then so be it. Sure, it's easy.",2,0,0,0,0,0,0,0,0,0
Kadang ya itu berpengaruh dan mudah juga ya buat kita.,Sometimes it is influential and easy for us.,2,0,0,0,0,0,0,0,0,0
Karena kan aplikasi serupa banyak yang jenisnya sama sama lengkap fiturnya,Because there are many similar applications that have the same type and complete features,0,0,0,2,0,0,0,0,0,0
Cuma kadang kayak penilaian atau review dari orang-orang itu kan kita jadi tahu kadang kekurangannya apa. saya yang  gampang di pakai  aja,"It's just that sometimes it's like an assessment or review from those people, so we sometimes know what the shortcomings are. I'm the one who is easy to use.",0,0,2,0,0,0,0,0,0,0
"Iya, kadang saya juga lihat kan kalau misalnya ini reviewnya apa, ya. saya cari aplikasi yang cepat","Yes, sometimes I also see what the review is, for example. I'm looking for a fast app",0,2,0,0,0,0,0,0,0,0
"Misalnya ada yang bilang, oh ini harus bayar nih, atau gimana.","For example, someone says, oh this has to be paid, or what.",0,0,0,0,0,0,0,0,0,1
"Kan kita jadi tidak takut  pakai  ini juga, gitu.","Right, we are not afraid to use this too, that's right.",0,0,0,0,0,2,0,0,0,0
Pertimbangan sebelum install sedikit takut  pakai  gitu.,Consideration before installing is a little afraid to use it.,0,0,0,0,0,2,0,0,0,0
Atau sepupu bilang gampang aplikasinya,Or a cousin who says it's easy to apply.,0,0,2,0,0,0,0,0,0,0
Kalau JKN itu gratis dari pemerintah.,If JKN is free from the government.,0,0,0,0,0,0,2,0,0,2
Kalau yang lain kan dia hanya memasukkan informasi sesuai yang kita masukkan aja.,"If it is different, he only enters the information according to what we enter.",0,0,0,0,0,0,0,0,0,0
lebih yakin cepat aplikasinya,more confident in the speed of the application,0,2,0,0,0,0,0,0,0,0
"Kalau yang lain kan dia langsung include ke data pemerintah, gitu.","If the others are included, they will immediately include it in the government data.",0,0,0,0,0,0,2,0,0,0
Kalau JKN bedanya sih itu dari pemerintah.,"If JKN is different, it is from the government.",0,0,0,0,0,0,2,0,0,0
Kalau keamanan lebih ke arah JKN justru yang lebih karena dari pemerintah,"If security is more towards JKN, it is more because of the government",0,0,0,0,0,0,2,0,0,0
fitur lengkap kaya bisa diingetin jadwal vaksin itu sebenarnya.,The full details of the vaccine schedule are actually recalled.,0,0,0,2,0,0,0,0,0,0
paling kendala internet jelek gitu.,Most of the internet is bad.,0,0,0,0,0,0,0,2,0,0
Jadi ya mau  pakai ,"So yes, I want to use it",0,0,0,0,0,1,0,0,0,0
"hp mendukung, lancar lancar aja","Cell phone is supportive, it's fine.",0,0,0,0,0,0,0,1,0,0
Bismillah sangat membantu,Bismillah is very helpful,0,0,0,0,2,0,0,0,0,0
Pegawai swasta.  pakai  Asuransi dari kantor  pakai . Allianz. Yang dari kantor itu Lippo Insurance. S1.,Private employees.  Use Insurance from the office use. Allianz. The one from the office is Lippo Insurance. S1.,0,0,0,0,0,1,2,0,0,0
Halodoc  pakai . Terus dari Lipo Insurance juga  pakai  aplikasi namanya eBenefit. Kalau misalnya untuk halodoc biasanya untuk pesan obat atau tidak tebus obat.,"Halodoc wear. Lipo Insurance also uses an application called eBenefit. For example, for halodoc, it is usually to order medicine or not redeem medicine.",0,0,0,0,0,1,0,0,0,0
Kalau untuk yang eBenefit itu biasanya coba buat lihat. Kalau di eBenefit itu yang asuransi kantor bisa konsultasi sama dokter online sih. Tahu dari diri sendiri sih media sosial.,"For the eBenefit, usually try to make it look at it. If you are in eBenefit, you can consult with an online doctor. Know from yourself social media.",0,0,0,0,0,0,1,0,0,0
"Dari kantor dikasih tahu. mudah sih, lebih gampang. Fiturnya juga bagus sih.","From the office, he was informed. It's easy, it's easier. The features are also good.",0,0,2,0,0,0,0,0,0,0
"Maksudnya user friendly sih, performanya bagus","I mean user friendly, the performance is good",0,2,0,0,0,0,0,0,0,0
"Kalau misalnya kalau halodoc sama eBenefit, kalau misalnya konsultasi sama dokter itu jadi kayak memang lebih sulit sih. tidak kayak ke dokter langsung. Kalau misalnya harus foto segala macam, next time.","For example, if halodoc is the same as eBenefit, for example, consulting with a doctor is more difficult. It's not like going to a doctor directly. For example, if you have to take photos of all kinds, next time.",1,0,0,0,0,0,0,0,0,0
Paling kalau misalnya buat konsultasi. Itu aplikasinya berbayar sama tidak dokter? tidak mau bayar. Eh kalau misalnya halodoc berbayar sih kalau konsultasi.,"At least, for example, for consultation. The application is paid the same as the doctor? Not willing to pay. Eh, for example, halodoc is paid for consultation.",0,0,0,0,0,0,0,0,0,1
"Maksudnya kalau download bayar atau? Maksudnya konsultasi bayar. Biasanya berapa> Kalau misalnya untuk dokter biasanya Rp125.000, tergantung kalau lagi ada promo bisa Rp50.000 atau Rp75.000. Lebih sih, soalnya kan biasanya kalau konsultasi by chat tidak bisa lebih sih. Bisa sampai setengah jaman lah.","Does that mean if you download pay or? That means paid consultation. Usually how much> For example, for a doctor, it is usually IDR 125,000, depending on if there is another promo it can be IDR 50,000 or IDR 75,000. It could be up to half a day.",0,0,0,0,0,0,0,0,0,1
"Lumayan penting sih kalau misalnya buat konsultasi dadakan jadi memudahkan kita, sama kalau misalnya buat sekaligus langsung pesen obat. Soalnya kalau misalnya sama dokternya sendiri kan biasanya suka whatsapp. Tapi saya butuh resepnya segala macam kan harus ke dokternya langsung.","It's quite important if, for example, for an impromptu consultation it makes it easier for us, the same if, for example, to make and order medicine at the same time. The problem is, for example, if you are with your own doctor, you usually like WhatsApp. But I need a prescription of all sorts, I have to go to the doctor directly.",0,0,0,0,2,0,0,0,0,0
Kalau misalnya ini kan bisa langsung ditebus lewat. Kalau misalnya di halodoc bisa langsung tebus jadi lebih cepat. Kayak semuanya hampir sama aja ya.,"For example, this can be redeemed immediately. For example, in halodoc, you can redeem it immediately, so it will be faster. It's almost the same.",0,2,0,0,0,0,0,0,0,0
"Semua yang saya  pakai  benefit atau halodoc hampir sama aja sih fiturnya lengkap tidak jauh beda. Iya betul sama aja, hampir sama aja. Kalau sekarang lebih better langsung ke dokternya.","Everything I use benefits or halodoc is almost the same, the features are complete, not much different. It's exactly the same, it's almost the same. Now it's better to go directly to the doctor.",0,0,0,2,0,0,0,0,0,0
"Karena apa? Langsung yang tadi saya cerita sih, yang lama terus kadang-kadang kan takut salah diagnosa atau gimana kalau sama dokternya, karena dokternya tidak ngelihat langsung kan jadi takut. Jadi cuma kayak analisis aku berapa suhunya yang kayak gitu-gitu kan. Tapi kalau misalnya ke rumah sakit itu lebih detail.","Because of what? Straight from what I told you earlier, the long ones that continue sometimes are afraid of being misdiagnosed or what if they are with the doctor, because the doctor doesn't see it directly, so it's scary. So it's just like my analysis of how much temperature is like that, right? But if for example to go to the hospital, it is more detailed.",0,0,0,0,0,2,0,0,0,0
"Kalau milih aplikasi ya. Suami sih, suami kan juga jarang  pakai  aplikasi. Kadang saya suka bilang download HaloDoc gampang, jadi kadang kalau misalnya saya tidak bisa dia juga bisa order gitu sih.","If you choose an application. Husbands, too, rarely use applications. Sometimes I like to say that downloading HaloDoc is easy, so sometimes if for example I can't, he can also order it.",0,0,2,0,0,0,0,0,0,0
"Kita tidak tahu ya, kendala entah handphone tidak mendukung","We don't know, the problem is whether the cellphone does not support",0,0,0,0,0,0,0,2,0,0
"Waktu saya hamil sih kayak pernah upload segala macam, ya kalau hamil ya biasa aja, tapi kalau udah perkembangan anak aku tidak sih, jadi kayak tidak terlalu dibuka publik juga sih sebenarnya, lebih terpaksa sih. Tapi pernah tidak? Takut sih, makanya kalau hamil makanya masukin data masih oke, tapi kalau udah perkembangan anak kayak gitu tidak sih.","When I was pregnant, it was like I had uploaded all sorts of things, yes, if I was pregnant, it was normal, but if I had developed my child, it wasn't at all, so it wasn't too open to the public, actually, it was more forced. But have you ever not? I'm scared to admit that if you're pregnant, it's okay to have a baby, but if you're pregnant, it's not like that.",0,0,0,0,0,2,0,0,0,0
"Belum  pakai  sih Yang gimana maksudnya aplikasi kesehatan itu? Oh ya gitu mah, download sendiri sih Bukan karena ada disuruh gitu Kebutuhan pribadi itu dari diri sendiri aja","Haven't used it yet, what does the health application mean? Oh yes, that's it, download it yourself Not because you were told to do it Your personal needs are from yourself.",0,0,0,0,0,0,1,0,0,0
"sulit, tidak Kalau buat memantau perkembangan anak sih tidak  pakai  ya Itu mah buat kayak kalau konsultasi mendadak aja Pas lagi tidak ke dokter gitu Kalau misalnya anak mah pasti dari dokter sih Buat ininya gitu, perkembangannya Jarang  pakai  aplikasi","difficult, no If you don't use it to monitor the child's development, it's like if the consultation is sudden When you don't go to the doctor anymore If for example the child must be from a doctor For this, the development rarely uses applications",1,0,0,0,0,0,0,0,0,0
Dulu sih pakai halodok sama Yang tanggal itu aku lupa namanya ya Cuman sekarang udah tidak  pakai  sih,"I used to use the same halodok on that date I forgot the name, it's just that now I don't use it anymore",0,0,0,0,0,2,0,0,0,0
"Ya Satu kali bertanya gitu maksudnya Konsultasi bayar 50 ribu kan Itu, lumayan mahal","Yes, one time you ask that, it means that the consultation pays 50 thousand, right, it's quite expensive",0,0,0,0,0,0,0,0,0,1
Per dokter Pokoknya kalau misalnya kita kayak mau nanya Bayar dulu baru dijawab sama si dokternya,"Per doctor Anyway, if for example we want to ask Pay first and then answer with the doctor",0,0,0,0,0,0,0,0,0,1
lumayan sulit sih bagi saya,It's pretty hard for me,1,0,0,0,0,0,0,0,0,0
 pakai  Pemerintah Cuman abis masa aktifnya Belum memperpanjang lagi Nanti ke depannya sih mau Biar sekeluarga punya kan Soalnya emang bener-bener tidak punya Karena waktu itu tengah malam Alergi jadi memudahkan kita,"use the Government is just expiring its active period It hasn't extended it anymore in the future, I want to let the whole family have it, right? The problem is that it really doesn't have because at that time it was midnight Allergies so it made it easier for us",0,0,0,0,2,0,2,0,0,0
